Delivery,Item,Ship-to party,Material,Delivery quantity,Sales Unit,Material Avail. Date,Total Weight,Unit of Weight,Route,Goods Issue Date,Picking Date,Act. Gds Mvmnt Date,Delivery Type,Box,Carton ,Pallet,Percent Box,Percent Carton,Percent Pallet,FILTER
80000426,40,P2000,V-CAM1,40,EA,3/1/2017,76,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80000430,20,P2000,E1200-VV,70,EA,3/1/2017,94.5,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,2,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000430,50,P2000,SM2-2W10,27,EA,3/1/2017,98.55,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,40.00%,0.400,0.40,FALSE
80000430,60,P2000,V-CAM1,80,EA,3/1/2017,152,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80000431,40,P2000,V-CAM1,50,EA,3/1/2017,95,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80000649,40,P2000,SM2-2W10,6,EA,3/1/2017,21.9,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,20.00%,0.200,0.20,FALSE
80000650,40,P2000,SM2-2W10,3,EA,3/1/2017,10.95,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,60.00%,0.600,0.60,FALSE
80000652,110,P2000,DAP-1330,24,EA,3/1/2017,12.72,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,2,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000652,120,P2000,E1200-VV,40,EA,3/1/2017,54,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,2,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000652,160,P2000,SM2-2W10,9,EA,3/1/2017,32.85,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,80.00%,0.800,0.80,FALSE
80000652,190,P2000,V-CAM1,30,EA,3/1/2017,57,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80000652,200,P2000,V-CMA-6,40,EA,3/1/2017,2,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,4,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000652,250,P2000,V-DW21R-345,84,EA,3/1/2017,10.92,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,6,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000809,150,P2010,DAP-1330,5,EA,3/1/2017,2.65,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,2,n/a,#REF!,50.00%,0.500,0.50,TRUE
80000809,160,P2010,E1200-VV,20,EA,3/1/2017,27,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,2,n/a,#REF!,100.00%,1.000,1.00,TRUE
80000809,200,P2010,SM2-2W10,4,EA,3/1/2017,14.6,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,80.00%,0.800,0.80,FALSE
80000809,220,P2010,V-CAM1,10,EA,3/1/2017,19,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80000809,230,P2010,V-CMA-6,2,EA,3/1/2017,0.1,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,4,n/a,#REF!,50.00%,0.500,0.50,TRUE
80000809,270,P2010,V-DW21R-345,35,EA,3/1/2017,4.55,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,6,n/a,#REF!,83.33%,0.833,0.83,TRUE
80000847,40,P2000,SM2-2W10,21,EA,3/1/2017,76.65,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,150,20.00%,0.200,0.20,FALSE
80000849,30,P2000,V-CAM1,45,EA,3/1/2017,85.5,LB,LTL,3/1/2017,3/1/2017,2/28/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
80001807,10,P2000,E1200-VV,208,EA,2/28/2017,280.8,LB,LTL,2/28/2017,2/28/2017,2/28/2017,ZNL,2,n/a,#REF!,100.00%,1.000,1.00,TRUE
80004297,160,P2000,DAP-1330,5,EA,3/1/2017,2.65,LB,LTL,2/28/2017,3/1/2017,3/2/2017,ZNL,2,n/a,#REF!,50.00%,0.500,0.50,TRUE
80004297,200,P2000,SM2-2W10,2,EA,3/1/2017,7.3,LB,LTL,2/28/2017,3/1/2017,3/2/2017,ZNL,5,n/a,150,40.00%,0.400,0.40,FALSE
80004297,220,P2000,V-CAM1,10,EA,3/1/2017,19,LB,LTL,2/28/2017,3/1/2017,3/2/2017,ZNL,5,n/a,120,100.00%,1.000,1.00,FALSE
